UT,AU
WOS:000388576700003,"Finkelstein, A; Gentzkow, M; Williams, H"
WOS:000383326100003,"Chen, DL; Moskowitz, TJ; Shue, K"
WOS:000380249200008,"Adda, J"
WOS:000380249200001,"Saez, E; Zucman, G"
WOS:000365535400010,"Fillat, JL; Garetto, S"
WOS:000354733000009,"Piguillem, F; Riboni, A"
WOS:000336146600002,"Cavallo, A; Neiman, B; Rigobon, R"
WOS:001022028300001,"Cajal-Grossi, J; Macchiavello, R; Noguera, G"
WOS:000768142500001,"Exley, CL; Kessler, JB"
WOS:000593217300006,"Heblich, S; Redding, SJ; Sturm, DM"
WOS:000489162100002,"Ilzetzki, E; Reinhart, CM; Rogoff, KS"
WOS:000489161300002,"Cooper, Z; Craig, SV; Gaynor, M; Van Reenen, J"
WOS:000451281400002,"Kueng, L"
WOS:000401981500006,"Bandiera, O; Burgess, R; Das, N; Gulesci, S; Rasul, I; Sulaiman, M"
WOS:000388576700010,"Haushofer, J; Shapiro, J"
WOS:000383326100005,"Hottman, CJ; Redding, SJ; Weinstein, DE"
WOS:000371602500010,"Bierbrauer, FJ; Boyer, PC"
WOS:000359638900004,"Kremer, M; Snyder, CM"
WOS:000330451700008,"Kleven, HJ; Landais, C; Saez, E; Schultz, E"
