UT,AU
WOS:000875748600001,"Grosjean, P; Masera, F; Yousaf, H"
WOS:000864359300001,"Bordalo, P; Conlon, JJ; Gennaioli, N; Kwon, SY; Shleifer, A"
WOS:000763959600001,"Lanzani, G"
WOS:000612198000009,"Barron, D; Guo, YN"
WOS:000593217300010,"Behrens, K; Mion, G; Murata, Y; Suedekum, J"
WOS:000593217300004,"Deming, DJ; Noray, K"
WOS:000544015700007,"Fajgelbaum, PD; Gaubert, C"
WOS:000507362800008,"Liang, AN; Mu, XS"
WOS:000489163400010,"Coffman, LC; Conlon, JJ; Featherstone, CR; Kessler, JB"
WOS:000451280400007,"Bayer, P; Charles, KK"
WOS:000412764300004,"Heathcote, J; Storesletten, K; Violante, GL"
WOS:000365535400008,"Lewis, RA; Rao, JM"
WOS:000346660500009,"Yanagizawa-Drott, D"
WOS:001051517900001,"Christensen, P; Timmins, C"
WOS:000813230500001,"BYRNE, DP; MARTIN, LA; NAH, JS"
WOS:000770415300001,"Avenancio-León, CF; Howard, T"
WOS:000642334600005,"Marinescu, I; Skandalis, D"
WOS:000672777600011,"Bessone, P; Rao, G; Schilbach, F; Schofield, H; Toma, M"
WOS:000642334600008,"Kehrig, M; Vincent, N"
WOS:000593217300002,"Weigel, JL"
WOS:000544017700007,"Chetty, R; Friedman, JN; Saez, E; Turner, N; Yagan, D"
WOS:000544017700001,"Hendren, N; Sprung-Keyser, B"
WOS:000544017700005,"Pflueger, C; Siriwardane, E; Sunderam, A"
WOS:000451280400005,"Sorkin, I"
WOS:000401981500010,"Heidhues, P; Koszegi, B"
WOS:000388576700005,"Bordalo, P; Coffman, K; Gennaioli, N; Shleifer, A"
WOS:000383326100008,"Bleakley, H; Ferrie, J"
WOS:000346660500001,"Chetty, R; Hendren, N; Kline, P; Saez, E"
WOS:000336146600001,"Feenstra, RC; Romalis, J"
WOS:000793997100001,"Folke, O; Rickne, J"
WOS:000764079400001,"Aneja, A; Xu, G"
WOS:000672777600002,"Coibion, O; Gorodnichenko, Y; Kumar, S; Ryngaert, J"
WOS:000593217300008,"Bigio, S; La'O, J"
WOS:000489162800006,"Cengiz, D; Dube, A; Lindner, A; Zipperer, B"
WOS:000489162100005,"Burke, M; Bergquist, LF; Miguel, E"
WOS:000406177000009,"Célérier, C; Vallée, B"
WOS:000401981500005,"Muir, T"
WOS:000365535400002,"Baicker, K; Mullainathan, S; Schwartzstein, J"
WOS:000365535400006,"Squicciarini, MP; Voigtländer, N"
WOS:000354733000010,"Callander, S; Harstad, B"
WOS:000354733000005,"Wantchekon, L; Klasnja, M; Novta, N"
WOS:000342236000004,"Gennaioli, N; Shleifer, A; Vishny, R"
WOS:001018021300001,"Esponda, I; Oprea, R; Yuksel, S"
WOS:000935197700001,"Babina, T; He, AX; Howell, ST; Perlman, ER; Staudt, J"
WOS:000763802200001,"Chan, DC; Gentzkow, M; Yu, C"
WOS:000728439200009,"Bertrand, M; Bombardini, M; Fisman, R; Hackinen, B; Trebbi, F"
WOS:000642334600001,"Jäger, S; Schoefer, B; Heining, J"
WOS:000642334600009,"Macchiavello, R; Morjaria, A"
WOS:000544017700004,"Bordalo, P; Gennaioli, N; Shleifer, A"
WOS:000544017700006,"Caballero, RJ; Simsek, A"
WOS:000406177000002,"Atkin, D; Chaudhry, A; Chaudry, S; Khandelwal, AK; Verhoogen, E"
WOS:000401981500007,"Angrist, JD; Hull, PD; Pathak, PA; Walters, CR"
WOS:000351525000008,"Busse, MR; Pope, DG; Pope, JC; Silva-Risso, J"
WOS:000351525000006,"Caselli, F; Morelli, M; Rohner, D"
WOS:000336146600003,"Karlan, D; Osei, R; Osei-Akoto, I; Udry, C"
WOS:001017928700001,"Finlay, K; Mueller-Smith, M; Street, B"
WOS:000836166500001,"Greenberg, K; Gudgeon, M; Isen, A; Miller, C; Patterson, R"
WOS:000764873200001,"Balboni, C; Bandiera, O; Burgess, R; Ghatak, M; Heil, A"
WOS:000642334600010,"Christensen, D; Dube, O; Haushofer, J; Siddiqi, B; Voors, M"
WOS:000672777600007,"Hartzmark, SM; Hirshman, SD; Imas, A"
WOS:000612198000012,"Harel, M; Mossel, E; Strack, P; Tamuz, O"
WOS:000544017700010,"Kamada, Y; Sugaya, T"
WOS:000396771300010,"Battaglini, M"
WOS:000371602500002,"Malmendier, U; Nagel, S"
WOS:000346660500005,"Brunnermeier, MK; Simsek, A; Xiong, W"
